Cat,Scale Name,Scale #,Scale Key,Item Text,Session,Trait Key,Reverse
A,Accommodating,1,A1,I try to avoid conflict,0,accommodating,FALSE
A,Accommodating,1,A1,"I avoid arguing, even when I disagree",0,accommodating,FALSE
A,Accommodating,1,A1,I enjoy a good debate,0,accommodating,TRUE
A,Accommodating,1,A1,I feel uncomfortable when I disagree with someone,0,accommodating,FALSE
A,Accommodating,1,A1,I am good at compromising when others have strong opinions,0,accommodating,FALSE
A,Accommodating,1,A1,I am not willing to compromise my opinions for anyone,0,accommodating,TRUE
A,Compassionate,2,A2,I think about the needs of others,2,compassionate,FALSE
A,Compassionate,2,A2,I enjoy being there for people when they are feeling sad,2,compassionate,FALSE
A,Compassionate,2,A2,I like to help others with their personal problems,2,compassionate,FALSE
A,Compassionate,2,A2,I am sensitive to the feelings of others,4,compassionate,FALSE
A,Compassionate,2,A2,I am concerned about others,4,compassionate,FALSE
A,Compassionate,2,A2,I let others know that I care about their feelings,4,compassionate,FALSE
A,Modest,3,A3,I make more significant contributions than the average person,8,modest,TRUE
A,Modest,3,A3,The groups I belong to would not function well without me,8,modest,TRUE
A,Modest,3,A3,"If I am honest, I feel that I am a bit better than other people",8,modest,TRUE
A,Modest,3,A3,I am an important member of my social groups,9,modest,TRUE
A,Modest,3,A3,I make important contributions to my community,9,modest,TRUE
A,Modest,3,A3,I consider myself an average person,9,modest,FALSE
A,Altruistic,4,A4,I sympathize with people who are homeless,11,altruistic,FALSE
A,Altruistic,4,A4,I am helpful to the people around me,12,altruistic,FALSE
A,Altruistic,4,A4,I am concerned for the wellbeing of elderly people,13,altruistic,FALSE
A,Altruistic,4,A4,I take care of myself before helping others,14,altruistic,TRUE
A,Altruistic,4,A4,It is important to me to take care of other people,14,altruistic,FALSE
A,Altruistic,4,A4,I look for ways to help others,15,altruistic,FALSE
A,Trusting,5,A5,I believe that others have good intentions,0,trusting,FALSE
A,Trusting,5,A5,I trust what people say,0,trusting,FALSE
A,Trusting,5,A5,I often think people have hidden motives for their actions,0,trusting,TRUE
A,Trusting,5,A5,I believe that people are basically good,0,trusting,FALSE
A,Trusting,5,A5,I am suspicious of people that I am just getting to know,0,trusting,TRUE
A,Trusting,5,A5,I do not trust many people,0,trusting,TRUE
A,Eager,6,A6,I like to be needed by other people,3,eager,FALSE
A,Eager,6,A6,I work hard to please others,3,eager,FALSE
A,Eager,6,A6,I need approval from other people,3,eager,FALSE
A,Eager,6,A6,It is important to me that other people like me,4,eager,FALSE
A,Eager,6,A6,I can't stand when someone doesn't like me,4,eager,FALSE
A,Eager,6,A6,I try my best to be a likeable person,4,eager,FALSE
A,Cooperative,7,A7,"I enjoy working together with others, toward a common goal",0,cooperative,FALSE
A,Cooperative,7,A7,Competing with other people is motivating to me,0,cooperative,TRUE
A,Cooperative,7,A7,I feel discouraged if I am not supported by the people around me,0,cooperative,FALSE
A,Cooperative,7,A7,I dislike being in competition with others,0,cooperative,FALSE
A,Cooperative,7,A7,I try harder when I am in competition with other people,0,cooperative,TRUE
A,Cooperative,7,A7,I like to share goals and plans with other people,0,cooperative,FALSE
A,Honest,8,A8,I tell little white lies when the truth is too difficult,0,honest,TRUE
A,Honest,8,A8,I am known to tell people what they want to hear,0,honest,TRUE
A,Honest,8,A8,I sometimes bend the truth to keep myself out of trouble,0,honest,TRUE
A,Honest,8,A8,"I am always honest, even when the truth is hard to hear",0,honest,FALSE
A,Honest,8,A8,"I believe people deserve the truth, even if it’s upsetting",0,honest,FALSE
A,Honest,8,A8,I am honest about my mistakes and shortcomings,0,honest,FALSE
O,Theoretical,1,O1,I enjoy trying to understand complicated ideas,1,theoretical,FALSE
O,Theoretical,1,O1,I enjoy talking about philosophy,1,theoretical,FALSE
O,Theoretical,1,O1,I like thinking about the mysteries of the universe,1,theoretical,FALSE
O,Theoretical,1,O1,I enjoy learning about scientific theories,2,theoretical,FALSE
O,Theoretical,1,O1,I would prefer to come up with an original solution to a problem,2,theoretical,FALSE
O,Theoretical,1,O1,I am full of new ideas,2,theoretical,FALSE
